# E [GeV], sigma [1e-38 cm2]
5.318696883852692, 0.0
5.6798866855524075, 0.0
6.062322946175637, 0.0
6.423512747875354, 0.008839696442030302
6.784702549575071, 0.0186734932557112
7.145892351274787, 0.029501390441042694
7.528328611898017, 0.04144034098292486
7.932011331444759, 0.06549367154403929
8.271954674220963, 0.09106739090885463
8.654390934844193, 0.1071874106609143
9.058073654390935, 0.12465238973932478
9.440509915014164, 0.15589832887179353
9.737960339943342, 0.17421121709072948
10.077903682719548, 0.1941614470982665
10.439093484419264, 0.22985159965693788
10.927762039660056, 0.2857258881929464
11.3314447592068, 0.31187462640018715
11.820113314447593, 0.3578566416300647
12.26628895184136, 0.3882449255399329
12.754957507082153, 0.45637003924422376
13.34985835694051, 0.5143982119188086
13.757965525531906, 0.5620275278515161
13.774787535410765, 0.5686838890765912
14.369688385269122, 0.6525684174961665
14.943342776203966, 0.6991839280609194
15.538243626062323, 0.8125503547573875
16.21813031161473, 0.8927411180705355
16.919263456090654, 1.0011857733191258
17.057984319224296, 1.0234790591534577
17.51416430594901, 1.108694804688515
18.08781869688385, 1.1699002001195515
18.703966005665723, 1.286970138004522
19.213881019830026, 1.3749382748135246
19.723796033994333, 1.4657132832601292
20.147300658619304, 1.5174775389683477
24.296413413600767, 2.2642189521610927
29.299989848121616, 3.2915733276187686
35.333997264775725, 4.646044746730085
43.80929507051921, 6.767137919403606
55.45949409706586, 9.84111022913892
66.88076080876861, 12.97771358672276
81.78065835438635, 17.226138674647338
97.94084697994387, 22.005432853366113
116.4836740045128, 27.807379198524117
