# E [GeV], sigma [1e-38 cm2]
5.021246458923513, 0.0
5.38243626062323, 0.007407022377004444
5.701133144475921, 0.02353678821113912
6.126062322946176, 0.0590125269641604
6.572237960339944, 0.1085323699872651
7.294617563739377, 0.1907308262078644
7.804532577903682, 0.268504561166411
8.356940509915013, 0.35651168230371383
8.888101983002834, 0.46479065415702886
9.461756373937678, 0.5989552200015593
9.950424929178471, 0.7120487563999272
10.069596035266379, 0.7327237966087451
10.460339943342778, 0.8349078670374509
11.055240793201133, 0.9888862177404681
11.607648725212464, 1.1501156535072898
12.11756373937677, 1.3006926215661303
12.227830151068531, 1.3112396587528807
12.839943342776204, 1.5195896249707617
13.562322946175637, 1.7543922343218024
14.242209631728045, 1.9991358473893492
14.342554407501808, 2.0323704756162138
14.922096317280454, 2.258849442524105
15.58073654390935, 2.5086415261065054
16.175637393767705, 2.7157262780362292
16.823006567046047, 3.006665003472059
16.89801699716714, 2.9997855861943497
17.577903682719548, 3.289809496582374
18.321529745042493, 3.6054753489097378
18.980169971671387, 3.8918054941913343
19.76628895184136, 4.243405151129246
20.42871096434286, 4.511702549146359
23.63164619483149, 6.003443735452935
27.718586789381067, 7.997107167319303
32.7386103437976, 10.741050457475724
38.400541574490745, 13.824194966816668
46.30870652147845, 18.444659278342055
57.01959081404031, 24.894510712853343
69.24069936029645, 32.263219489159404
80.09666945806026, 39.1621588116218
95.92409507148786, 49.22742921541036
